symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,disease
repeated infections,eczema,low platelets,bloody diarrhea,autoimmune problems,increased cancer risk,immune deficiency,small red spots,Wiskott-Aldrich Syndrome
skin fragility,light sensitivity,developmental delay,premature aging,lens opacity,hearing loss,growth failure,nerve deterioration,Cockayne Syndrome
lens opacity,hearing loss,bone abnormalities,nearsightedness,retinal detachment,cleft palate,joint problems,distinctive facial features,Stickler Syndrome
abnormal facial features,short stature,short fingers,intellectual disability,behavioral problems,growth problems,small head,distinctive odor,Smith-Lemli-Opitz Syndrome
skin blisters,light sensitivity,excessive hair,liver problems,stomach pain,red urine,nerve symptoms,iron buildup,Porphyria Cutanea Tarda
heart racing,fainting,sudden heart arrest,sudden death family history,abnormal heart test,dangerous heart rhythm,exercise intolerance,fever symptoms,Brugada Syndrome
low white cells,repeated infections,mouth sores,fever,skin infections,gum inflammation,lymph node swelling,cyclic pattern,Cyclic Neutropenia
anemia,low white cells,low platelets,growth problems,bone abnormalities,kidney problems,cancer predisposition,chromosome instability,Fanconi Anemia
finger tightness,finger webbing,tissue growths,palm nodules,finger deviation,function problems,family history,progressive worsening,Dupuytren's Disease
short stature,webbed neck,broad chest,heart defects,learning difficulties,bleeding disorders,fluid problems,kidney abnormalities,Noonan Syndrome
patchy hair loss,nail pitting,joint pain,thyroid autoimmune disease,white skin patches,skin allergy,emotional stress,autoimmune family history,Alopecia Areata
mental decline,muscle stiffness,blindness,adrenal problems,behavioral problems,seizures,hearing loss,skin color changes,Adrenoleukodystrophy
eyelid drooping,eye muscle weakness,eye pigment changes,heart block,muscle weakness,exercise intolerance,diabetes,hearing loss,Kearns-Sayre Syndrome
repeated fractures,blue eye whites,tooth problems,short stature,triangular face,hearing loss,easy bruising,bone deformity,Osteogenesis Imperfecta Type III
small head,optic nerve problems,intellectual disability,low muscle tone,seizures,eye-brain problems,trunk obesity,distinctive facial features,Cohen Syndrome
intellectual disability,excessive eating,underdeveloped sex organs,obesity,eye deterioration,extra fingers,kidney problems,behavioral problems,Bardet-Biedl Syndrome
sun sensitivity,skin cancer,freckling,premature aging,lens opacity,nerve problems,growth problems,DNA repair defect,Xeroderma Pigmentosum
red blood cell abnormalities,iron buildup,tiredness,liver problems,diabetes,heart problems,skin color changes,joint pain,Hereditary Hemochromatosis
heart abnormalities,bone malformations,urinary abnormalities,growth problems,distinctive facial features,kidney problems,limb defects,multiple organ involvement,CHARGE Syndrome
swallowing difficulty,food return,breathing issues,coughing,choking,pneumonia,feeding difficulties,failure to thrive,Esophageal Atresia
cleft palate,small jaw,tongue positioned back,breathing problems,feeding difficulties,hearing loss,speech delays,tooth problems,Pierre Robin Sequence
optic nerve underdevelopment,midline defects,hormone deficiencies,vision problems,growth hormone deficiency,seizures,developmental delays,pituitary problems,Septo-Optic Dysplasia
intestinal growths,skin color changes,increased cancer risk,GI bleeding,bowel telescoping,cancer family history,skin-mouth pigmentation,breast cancer risk,Peutz-Jeghers Syndrome
skin tumors,colon cancer,aggressive tumors,bone growths,tooth abnormalities,eye pigmentation,cancer family history,multiple growths,Gardner Syndrome
intellectual disability,short stature,stubby hands,distinctive facial features,behavioral problems,sleep breathing problems,spine problems,eye abnormalities,Rubinstein-Taybi Syndrome
tall stature,hyperextensible joints,lens dislocation,intellectual disability,seizures,blood clots,bone weakness,psychiatric problems,Homocystinuria
muscle cramps,exercise intolerance,muscle breakdown,tiredness,muscle pain,weakness,muscle protein in urine,glucose processing defect,McArdle Disease
progressive muscle jerks,seizures,balance problems,dementia,vision loss,muscle weakness,speech problems,starch bodies,Lafora Disease
movement disorders,intellectual disability,self-harm,kidney stones,gout,muscle stiffness,movement abnormalities,behavioral problems,Lesch-Nyhan Syndrome
muscle weakness,lens opacity,frontal hair loss,muscle stiffness,heart conduction problems,diabetes,sleep breathing problems,GI problems,Myotonic Dystrophy
abnormal eye movements,poor balance,speech problems,balance problems,tremor,cognitive problems,depression,family history,Spinocerebellar Ataxia
bone fragility,blue eye whites,hearing loss,short stature,joint looseness,easy bruising,tooth problems,triangular face,Van der Hoeve Syndrome
rough facial features,short stature,liver and spleen enlargement,corneal opacity,joint stiffness,heart problems,breathing issues,developmental delay,Mucopolysaccharidosis
excessive growth,body asymmetry,large head,large tongue,belly wall defect,low blood sugar,cancer predisposition,ear abnormalities,Beckwith-Wiedemann Syndrome
heart defects,cleft palate,learning difficulties,speech delays,distinctive facial features,immune deficiency,behavioral problems,kidney abnormalities,Velocardiofacial Syndrome
dry skin,sparse eyebrows,brittle hair,missing teeth,heat sensitivity,nail abnormalities,immune problems,cleft lip/palate,Ectodermal Dysplasia Syndrome
excessive bruising,gum bleeding,post-surgery bleeding,nosebleeds,large platelets,low platelets,giant platelets,prolonged bleeding time,Bernard-Soulier Syndrome
stroke,seizures,psychiatric symptoms,migraine,mood disorders,cognitive decline,brain white matter lesions,stroke family history,CADASIL
